,QCode,Title,link,level,statement,Author,Tester,Editorial,Tags,Date Added,Time Limit,Source Limit,Languages
17,SEQCOUNT,How many sequences,/problems/SEQCOUNT,hard,"
All submissions for this problem are available. Read problems statements in Mandarin Chinese  and Russian.
Consider the sequence of K natural numbers: a1, a2, ..., aK. Tooru thinks that this sequence is nice if and only if:

a1+a2+...+aK = N
a1 < a2 < ... < aK
ai+1 - ai <= D for every natural i, smaller than K
a1 <= D


You are given N, K and D. Please, count the number of nice sequences for her. This number can be huge, so we ask you to output it modulo 109+7.

Input
The first and only line of the input consists of the integers N, K and D, separated by a single space.
Output
Output the number of nice sequences on the first line of the output modulo 109+7.
Example
Input:
10 4 1

Output:
1
Explanation
The only suitable sequence is (1, 2, 3, 4).
Scoring
1 <= N, K, D <= 10 : 17 points.
1 <= N, K, D <= 400 : 23 points. 1 <= N, K, D <= 2000 : 20 points.
1 <= N, K, D <= 105 : 40 points. ",xcwgf666,Rubanenko‎,http://discuss.codechef.com/problems/SEQCOUNT,"['ltime10', 'dp', 'xcwgf666', 'easy-medium']",            7-03-2014</td>        <,            1 sec</td>        <,            50000 Bytes</td>        <,"            <td>ADA, ASM, BASH, BF, C, C99 strict, CAML, CLOJ, CLPS, CPP 4.3.2, CPP 4.9.2, CPP14, CS2, D, ERL, FORT, FS, GO, HASK, ICK, ICON, JAVA, JS, LISP clisp, LISP sbcl, LUA, NEM, NICE, NODEJS, PAS fpc, PAS gpc, PERL, PERL6, PHP, PIKE, PRLG, PYTH, PYTH 3.4, RUBY, SCALA, SCM guile, SCM qobi, ST, TCL, TEXT, WSPC</td>        <"
49,ASTRING,Akhil And Random String,/problems/ASTRING,easy,"
All submissions for this problem are available. Read problems statements in Mandarin Chinese , Russian and Vietnamese as well.
Akhil comes across a string S of length N. He started wondering about the smallest lexicographical subsequence of string S of length K.
A subsequence of a string is formed by deleting some characters (possibly none) from it's original string.
A string A is said to be lexicographically smaller than the string B of the same length if at the first position where A and B differ, A contains a letter which appears earlier in the dictionary than the corresponding letter in B.
Input

The first line of the input contains an integer T denoting the number of test cases. The description of T test cases follows:
First line of each test case will contain string S
Second line of each test case will contain an integer K.

Output

For each test case, output a single line containing the lexicographically smallest subsequence of S of length K.

Constraints

1 ≤ T ≤ 5
1 ≤ K ≤ N
S consists of lowercase English alphabet characters, i.e. from 'a' to 'z'.

Subtasks
Subtask #1 (10 points) : 1 ≤ |S| ≤ 100
Subtask #2 (20 points) : 1 ≤ |S| ≤ 103
Subtask #3 (70 points) : 1 ≤ |S| ≤ 105
Example
Input:
2
abdc
3
bacb
2

Output:
abc
ab
Explanation
Example case 1. ""abc"" is the smallest lexicographical subsequence out of [""abd"", ""bdc"", ""abc"", ""adc""].
Example case 2. ""ab"" is the smallest lexicographical subsequence of length 2. ",amitpandeykgp,prateekg603,http://discuss.codechef.com/problems/ASTRING,"['amitpandeykgp', 'ltime36', 'implementation']",            24-05-2016</td>        <,            1 sec</td>        <,            50000 Bytes</td>        <,"            <td>ADA, ASM, BASH, BF, C, C99 strict, CAML, CLOJ, CLPS, CPP 4.3.2, CPP 4.9.2, CPP14, CS2, D, ERL, FORT, FS, GO, HASK, ICK, ICON, JAVA, JS, LISP clisp, LISP sbcl, LUA, NEM, NICE, NODEJS, PAS fpc, PAS gpc, PERL, PERL6, PHP, PIKE, PRLG, PYPY, PYTH, PYTH 3.4, RUBY, SCALA, SCM chicken, SCM guile, SCM qobi, ST, TCL, TEXT, WSPC</td>        <"
135,COOKOFF2,The Grand Cook Off,/problems/COOKOFF2,medium,"
All submissions for this problem are available.
Chef is planning a grand cooking tournament for aspiring chefs in the region.
The competition progresses with a number of one-on-one elimination rounds until only one chef remains.
For each round, two chefs are chosen at random for a cook-off.
The loser of the cook-off is elimited, while the winner moves on.
Additionally, each chef begins with a positive number of prize tokens
(some chefs begin with more than others, based on their performance in a qualification round).
The winner of each cook-off receives all of the loser's prize tokens, and the loser is
awarded a prize based on the number of prize tokens he/she had accrued.
The final cook-off always receives the most publicity.
Your task it to compute the expected difference between the number of prize tokens of the final two
competitors before the final cook-off.
You will be given the number of tokens each chef begins with.
Input
Input begins with an integer T, the number of test cases (at most 50).
Each test case consists of a single line, beginning with an integer C,
the number of chefs in the competition, followed by C positive integers each describing the number
of prize tokens a chef begins with.
The total number of prize tokens among all chefs will be between 1 and 100, inclusive.
Output
For each test case, output the expected difference in prize tokens, rounded to 6 places
after the decimal point.
Sample Input
3
3 1 1 1
3 1 1 2
4 10 10 10 30
Sample Output
1.000000
1.333333
26.666667
 ",pieguy,friggstad,http://discuss.codechef.com/problems/COOKOFF2,"['medium', 'pieguy', 'cook09']",            7-04-2011</td>        <,            1 sec</td>        <,            50000 Bytes</td>        <,"            <td>ADA, ASM, BASH, BF, C, C99 strict, CAML, CLOJ, CLPS, CPP 4.3.2, CPP 4.9.2, CPP14, CS2, D, ERL, FORT, FS, GO, HASK, ICK, ICON, JAVA, JS, LISP clisp, LISP sbcl, LUA, NEM, NICE, NODEJS, PAS fpc, PAS gpc, PERL, PERL6, PHP, PIKE, PRLG, PYTH, PYTH 3.4, RUBY, SCALA, SCM guile, SCM qobi, ST, TCL, TEXT, WSPC</td>        <"
136,BLOCKING,Block Game,/problems/BLOCKING,medium,"
All submissions for this problem are available.
In the magic land, there is a smart but naughty boy Crane.
Crane has n houses, and n friends (both numbered from 1 to n).
Crane's mother has scheduled a plan for all his friends
such that each friend visits each house of Crane exactly once
at a different time, i.e.,
there is at most one friend in any house at any time.
But like Crane all his friends are also naughty.
Therefore his mother wants to lock away each of his friends in distinct houses.
What she'll do is to choose a distinct house for each friend. As that friend visits
that house, he'll be locked in that house.  That is, Crane's mother wants to find a
sequence block such that
the i-th friend will be locked in block[i]-th house
once he visits that house. As she wants to ensure that there is at maximum one
person in each house, she must choose the sequence block such
that if friend A visits house H at time T, and he is locked away in the house, then no other friends visit house H
after time T. 
Help Crane's mother to find such a sequence block. 
Input
First line contains a single integer n (1 ≤ n
≤ 100), indicating the number of friends and houses.
Then n lines follow, with each line containing n positive integers.
The j-th integer in i-th line indicates the time when the i-th friend will visit the j-th house. All times will fit in signed 32-bit integer.
Output
If there exists a sequence block that satisfies the constraints, then output block[1] block[2] ... block[n] in one line, separated by a single space.
Otherwise if there is no such sequence, output -1 in one line.
If there are multiple answers, then anyone will do.
Example

Input:
3
1 2 3
4 5 6
7 8 9

Output:
3 2 1
 ",shangjingbo,laycurse,http://discuss.codechef.com/problems/BLOCKING,"['shangjingbo', 'matching', 'aug12', 'graph']",            26-06-2012</td>        <,            1 sec</td>        <,            50000 Bytes</td>        <,"            <td>ADA, ASM, BASH, BF, C, C99 strict, CAML, CLOJ, CLPS, CPP 4.3.2, CPP 4.9.2, CPP14, CS2, D, ERL, FORT, FS, GO, HASK, ICK, ICON, JAVA, JS, LISP clisp, LISP sbcl, LUA, NEM, NICE, NODEJS, PAS fpc, PAS gpc, PERL, PERL6, PHP, PIKE, PRLG, PYTH, PYTH 3.4, RUBY, SCALA, SCM guile, SCM qobi, ST, TCL, TEXT, WSPC</td>        <"
166,TEAMSEL,Team Selection,/problems/TEAMSEL,hard,"
All submissions for this problem are available.
One of the cherished customs of my childhood was choosing up sides for a cricket game. We did it this way: The two bullies of our gully would appoint themselves captains of the opposing teams, and then they would take turns picking other players. On each round, a captain would choose the most capable (or, towards the end, the least inept) player from the pool of remaining candidates, until everyone present had been assigned to one side or the other. The aim of this ritual was to produce two evenly matched teams and, along the way, to remind each of us of our precise ranking in the neighbourhood pecking order.
We all believed this was the fairest process, but does it ensure the fairest selection of players with evenly matched teams? We believed so, but then there were times when, as the game progressed we realized that the other team was stronger than ours and may be an exchange of a couple of players between the teams would have made them balanced. That scope of improvement seemed to be there...
Here, we need to find a way to create two evenly balanced teams for any game(or as evenly balanced as possible considering the strength of each player). A set of players must be divided into two teams. Each player must be on one team or the other; the number of player on the two teams must not differ by more than 1; each player will have a skill-point associated with him. The total skill-points of the players on each team should be as nearly equal as possible.(The absolute difference of the sum of skill-points of players in each team should be the least).
Input
The first line of input will contain the number of test cases 'T'(1<=T<=100). This is followed by 'T' test cases. Each test case starts with a blank line, followed by N, the total number of players. N lines will follow with the first line giving the skill-point of person 1; the second line, the skill-point of person 2; and so on. Each skill-point shall be an integer between 1 and 450. There shall be at most 100 players in all(1<=N<=100).
Output
Your output should be exactly '2T-1' lines. The output for each test case should be followed by a blank line, except the output for the last test case. Each odd numbered line should contain 2 numbers: the total skill-points of the players on one team, and the total skill-points of the players on the other team. Print the smaller sum first.
Example

Input:
4

3
90
200
100

10
2
3
10
5
8
9
7
3
5
2

10
1
1
1
1
1
1
1
1
1
9

8
87
100
28
67
68
41
67
1

Output:
190 200

27 27

5 13

229 230

Note: First paragraph is inspired by Brian Hayes's 2002 American Scientist article 'The Easiest Hard Problem' 
",admin,,,['admin'],            20-05-2009</td>        <,            3 - 5 sec</td>        <,            50000 Bytes</td>        <,"            <td>ADA, ASM, BASH, BF, C, C99 strict, CAML, CLOJ, CLPS, CPP 4.3.2, CPP 4.9.2, CPP14, CS2, D, FORT, FS, GO, HASK, ICK, ICON, JAVA, JS, LISP clisp, LISP sbcl, LUA, NEM, NICE, NODEJS, PAS fpc, PAS gpc, PERL, PERL6, PHP, PIKE, PRLG, PYTH, PYTH 3.4, RUBY, SCALA, SCM guile, SCM qobi, ST, TEXT, WSPC</td>        <"
358,M5,Overlapping discs,/problems/M5,hard,"
All submissions for this problem are available.
You are given n discs on plane, of the same radius (r=1). Output the area of the part of the plane which is covered by each disc.
Input
First, 1<=t<=10, the number of tests. Each testcase is of the following form: 1<=n<=100000, then n pairs of floating point coordinates follow: -1000<=xi,yi<=1000, representing the location of the i-th disc.
Output
For each testcase, output the total area covered by the intersection of all discs. Round the answer to 6 decimal digits after the point.
Example
Input:
1
2
0 0
0 1

Output:
1.228370
 ",admin,,,['admin'],            29-01-2010</td>        <,            2 - 5 sec</td>        <,            50000 Bytes</td>        <,"            <td>ADA, ASM, BASH, BF, C, C99 strict, CAML, CLOJ, CLPS, CPP 4.3.2, CPP 4.9.2, CPP14, CS2, D, ERL, FORT, FS, GO, HASK, ICK, ICON, JAVA, JS, LISP clisp, LISP sbcl, LUA, NEM, NICE, NODEJS, PAS fpc, PAS gpc, PERL, PERL6, PHP, PIKE, PRLG, PYPY, PYTH, PYTH 3.4, RUBY, SCALA, SCM chicken, SCM guile, SCM qobi, ST, TEXT, WSPC</td>        <"
368,SHAIKHGN,Funny gnomes,/problems/SHAIKHGN,medium,"
All submissions for this problem are available. Read problems statements in Mandarin Chinese, Russian and Vietnamese as well.
Kekocity's population consist of N gnomes numbered with unique ids from 1 to N. As they are very joyful gnomes, they usually send jokes to their friends right after they get any (even if they knew it before) via their social network named as Mybeard. Mybeard became popular in the city because of message auto-deletion. It takes exactly one minute to read and resend joke to mates.

Mayor of Kekocity, Mr. Shaikhinidin, is interested in understanding how the jokes are spread. He gives you database of Mybeard social network, and wants you to answer some queries on it.

You will be given a list of friends for every gnome and M queries of the following type: Who will receive a message with joke after exactly K minutes, if the creator of joke was gnome with id x?
Input
The first line contains a single integer N denoting the number of gnomes.
The next N lines contain the the matrix g[N][N]. Each of the i-th line, will contain N space separated integers - j-th of those will denote g[i][j]. If gnome j is friend of gnome i, then g[i][j] is 1. Otherwise it will be zero. Plese note that the friendship relationship is not bidirectional, i.e. it might happen that g[i][j] may not be equal to g[j][i]. Also one can be friend of itself also, i.e. g[i][i] may be equal to 1.
The next line contains a single integer M denoting the number of queries. The next M lines contain two integers k and x described above.
Output
For each query, output two lines.
In the first line, output how many gnomes will know the joke after k minutes.
In the second line, print these ids (numbering) of these gnomes in increasing order. If no one will know the joke after K minutes, then print -1 in this line.
Constraints

1 ≤ N ≤ 500
1 ≤ M ≤ 500
0 ≤ k ≤ 109
1 ≤ x ≤ N
0 ≤ g[i][j] ≤ 1

 Subtasks 
 Subtask #1 : (10 points) 

1 ≤ N ≤ 50
1 ≤ M ≤ 50
0 ≤ k ≤ 50

 Subtask #2 : (15 points) 

Original constraints
Every gnome has exactly one friend (for every i there is exactly one j such that g[i][j] = 1. Note that j can be equal to i) 

 Subtask #3 : (30 points) 

1 ≤ N ≤ 75
1 ≤ M ≤ 75
0 ≤ k ≤ 109

 Subtask #4 : (45 points) 

Original constraints

Example
Input:
5
0 1 0 0 0
0 0 1 1 0
1 0 0 0 0
0 0 0 1 0
0 0 0 0 0
4
3 1
10000 1
0 5
1 5

Output:
2
1 4
2
2 4
1
5
0
-1
 ",na2a,xcwgf666,http://discuss.codechef.com/problems/SHAIKHGN,"['aug16', 'medium', 'bitset', 'na2a']",            23-05-2016</td>        <,            1 sec</td>        <,            50000 Bytes</td>        <,"            <td>ADA, ASM, BASH, BF, C, C99 strict, CAML, CLOJ, CLPS, CPP 4.3.2, CPP 4.9.2, CPP14, CS2, D, ERL, FORT, FS, GO, HASK, ICK, ICON, JAVA, JS, LISP clisp, LISP sbcl, LUA, NEM, NICE, NODEJS, PAS fpc, PAS gpc, PERL, PERL6, PHP, PIKE, PRLG, PYPY, PYTH, PYTH 3.4, RUBY, SCALA, SCM chicken, SCM guile, SCM qobi, ST, TCL, TEXT, WSPC</td>        <"
384,TEAMSIZE,Team Formation,/problems/TEAMSIZE,medium,"
All submissions for this problem are available.

Battle of the Chefs is coming up! It's a contest where different teams of different Chefs compete against each other. Our Chef wants to send one of the best teams from his entire staff. Selecting a good team is not about having the best people, but it is about having members who can cooperate and work well with each other. Chef is very aware of this fact. So he chooses the following strategy to decide a team. He lines up all his N cooks in a line. Each of these cooks has a skill level associated with him. Denote the level of the i-th cook as skill[i] for 1 ≤ i ≤ N. Let us make a few points on a team formation.


A team can have any number of cooks.
Each team should consist of consecutive cooks. So, for example, cooks with positions 3, 4, 5 can form a team, but cooks with positions 4, 5, 7, 8 can not.
A team is a candidate team if the difference between the maximum skill and the minimum skill of the cooks in the team does not exceed the threshold C.
A cook can be in 0 or more candidate teams. Which means that candidate teams can intersect.
Two candidate teams are considered to be different if there exists at least one cook who is in one team but not in the other.



Chef has not yet decided the team of what size he is going to send to the battle. To be precise we note, that the team size is the total number of cooks in it. For the given team size Chef wants to consider all candidate teams of this size according to the rules described above, evaluate them for himself and choose the best one. Denote the total number of candidate teams for the given size K as cand[K]. To increase the chances of choosing better team he wants the number of candidate teams to be as large as possible. But Chef is a human and can't evaluate too many teams. The maximal number of teams he can evaluate depends on many factors such as his mood or fatigue. We call it the Chef's limit. Denote the current Chef's limit as M. Since Chef still wants the total number of candidate teams to be as large as possible you need to find the team size K such that cand[K] ≤ M, among all such K find the value for which cand[K] is maximal and if such K is not unique find the minimal K among them. Since Chef's limit always changes according to his mood or fatigue you should find the required team size for several values of M. Chef also wants to know the total number of candidate teams for the size you will find. There will be Q values of M in all.


In order to keep the input small the skills of the cooks will be given in the following way.

Skills of the first X cooks are given in the input, where X = min(10000, N).
If N > 10000 skills of the remaining cooks for 10000 < i ≤ N are calculated as
skill[i] = (A * skill[i-1] + B * skill[i-2] + D) mod 230,
where A, B and D are given in the input. Here mod denotes the modulo operation, that is, Y mod Z is the remainder of division of Y by Z.

Input

The first line of the input contains a single integer T, the number of test cases to follow.
Each test case consists of 3 lines.
The first line contains 6 space-separated integers N, C, Q, A, B and D.
The second line contains X = min(N, 10000) space-separated integers, i-th integer among them represents the skill of the i-th cook, that is, the number skill[i].
The third line contains Q space-separated integers, the values of M for which you need to find the optimal team size and the number of candidate teams of this size.

Output

For each test case, output Q lines containing the optimal team size for the corresponding value of M and the number of candidate teams corresponding to this team size separated by a space.

Constraints

1 ≤ T ≤ 5
1 ≤ N ≤ 500000
0 ≤ C < 230
1 ≤ Q ≤ 1000
0 ≤ A, B, D < 230
0 ≤ skill[i] < 230 for 1 ≤ i ≤ X
1 ≤ M ≤ N

Example

Input:
2
6 3 3 1 1 1
6 2 4 5 6 3
4 3 6
6 10 1 2 2 2
1 1000 1 1000 1 1000
4

Output:
2 4
3 3
1 6
2 0
Explanation

Case 1.
With team size 2, we have 4 candidate teams: {2, 4}, {4, 5}, {5, 6}, and {6, 3}. Here numbers denote the cooks' skills. With any other team size, the number of candidate teams is either less than 4 or greater than 4.
Similarly, with team size 3, we have 3 candidate teams, which are {2, 4, 5}, {4, 5, 6} and {5, 6, 3}.
With team size 1, we have 6 candidate teams with one member in each team.


Case 2.
With team size 1, we have 6 possible candidate teams. But 6 > 4. For all other team sizes, the total number of candidate teams is 0. Thus, the answer is the smallest size among them, i.e., 2.

",vamsi_kavala,,,"['oct12', 'medium', 'deque', 'vamsi_kavala']",            6-10-2011</td>        <,            3 sec</td>        <,            50000 Bytes</td>        <,"            <td>ADA, ASM, BASH, BF, C, C99 strict, CAML, CLOJ, CLPS, CPP 4.3.2, CPP 4.9.2, CPP14, CS2, D, ERL, FORT, FS, GO, HASK, ICK, ICON, JAVA, JS, LISP clisp, LISP sbcl, LUA, NEM, NICE, NODEJS, PAS fpc, PAS gpc, PERL, PERL6, PHP, PIKE, PRLG, PYTH, PYTH 3.4, RUBY, SCALA, SCM guile, SCM qobi, ST, TCL, TEXT, WSPC</td>        <"
448,KFORK,Knight Fork,/problems/KFORK,medium,"
All submissions for this problem are available. Read problems statements in Mandarin Chinese  and Russian.
Forking is an important tactics in the game of chess. A piece is said to perform a fork if 
1) It is on a safe square, i.e., the next move by the opponent does not kill the piece
2) It targets atleast 2 of the opponents pieces in its next move. So even if the opponent moves one of his pieces to safety, one of his remaining pieces can be killed.

You are given an NxN board, containing M White Queens. Remember, a Queen can move vertically, horizontally and diagonally; and kills any opponents piece directly in these directions. A Knight has 8 possible moves from position (i,j), viz (i+1,j+2), (i+1,j-2), (i-1,j+2), (i-1,j-2), (i+2,j+1), (i+2,j-1), (i-2,j+1), (i-2,j-1) (while remaining inside the NxN board). You have to find out the number of unoccupied positions on the NxN board, where a Black Knight can be placed such that it forks atleast 2 Queens.

INPUT:
First line contains T, number of testcases
Each testcase starts with a line containing two integers N and M
Then M lines follow, ith line containing two space separated integers X[i] and Y[i], the coordinates of the ith Queen

OUTPUT:
For each testcase, output a single line containing the answer to the question

CONSTRAINTS:
1<=T<=10
1<=X[i],Y[i]<=N 
0<=M<=N*N 
40 points : 1<=N<=8
60 points : 1<=N<=1000
No two queens can be in the same square.

SAMPLE INPUT:
1
5 2
1 1
3 1

SAMPLE OUTPUT:
1

EXPLANATION:
Only forking position is (2,3) ",piyushkumar,,http://discuss.codechef.com/problems/KFORK,"['simple', 'piyushkumar', 'ltime11', 'brute-force']",            20-04-2014</td>        <,            1 sec</td>        <,            50000 Bytes</td>        <,"            <td>ADA, ASM, BASH, BF, C, C99 strict, CAML, CLOJ, CLPS, CPP 4.3.2, CPP 4.9.2, CPP14, CS2, D, ERL, FORT, FS, GO, HASK, ICK, ICON, JAVA, JS, LISP clisp, LISP sbcl, LUA, NEM, NICE, NODEJS, PAS fpc, PAS gpc, PERL, PERL6, PHP, PIKE, PRLG, PYTH, PYTH 3.4, RUBY, SCALA, SCM guile, SCM qobi, ST, TCL, TEXT, WSPC</td>        <"
514,NI02,KGP Summers,/problems/NI02,easy,"
All submissions for this problem are available.
Summers in Kharagpur are Hot. And Humid! It’s pretty rough for students who are new to KGP and are not used to the sweating it can cause.
The students want to minimize the amount of sweat while walking from their hostels to class. When they enter the sunshine, they begin sweating. The longer they stay in the sun, the more they sweat.
Precisely, if the Euclidean distance between points A and B is d, then a student sweats d2 units when going from A to B without stopping anywhere on the way. But if they stop at a shady spot on the way (like a tree), their continuous sun exposure is broken, and they stop sweating immediately! So they can sit in the shade of the tree and cool off before resuming their journey. Once they leave the shade, they start sweating again.
For example, if a student goes from his room A0 to class An+1 while stopping at n trees in between for shade, the total sweat produced is
d(A0,A1)2 + d(A1,A2)2 + …… + d(An,An+1)2
Your task is to help the students find a path from their rooms to class in such a way that they sweat the minimum.
Input
The first line of input contains a single integer T (1 ≤ T ≤ 10), the number of test cases. Then follow the descriptions of the test cases one by one.
For each test case, the first line contains a single integer N (0 ≤ N ≤ 2500) indicating the number of trees on campus. The next N lines each contain a pair of integers denoting the 2D co-ordinates of each tree. The absolute value of each coordinate is less than or equal to 1000. No two trees have the same location. Then there are 2 additional lines – the co-ordinates of the student’s room and the classroom respectively.
Output
Print a single integer for each test case on a line by itself, the minimum amount of sweat that should be expended when a student goes from his room to class.
Example

Input:
2
6
8 2
4 0
8 0
4 -1
7 -1
6 -2
2 1
9 2
1
0 0
-1 1
1 -1

Output:
20
4

 ",iitgfaculties,,,['iitgfaculties'],            2-11-2012</td>        <,            3 sec</td>        <,            50000 Bytes</td>        <,"            <td>C, CPP 4.3.2, CPP14, GO, JAVA</td>        <"
